Brand,Product_Name,Price,MRP,Rating,Reviews,Category,URL
Vishudh,Blue Printed Yoke Design Thread Work Straight Kurta with Trouser & Dupatta,1544.0,5149.0,4.8,5.0,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-blue-printed-yoke-design-thread-work-straight-kurta-with-trouser--dupatta/28152826/buy
Khushal K,Women Embroidered A-Line Kurta with Palazzos & Dupatta,1609.0,5749.0,4.7,51.0,Women Clothing,https://www.myntra.com/kurta-sets/khushal+k/khushal-k-women-embroidered-a-line-kurta-with-palazzos--dupatta/35891156/buy
Prisca,Floral Printed V-Neck Straight Pure Cotton Kurta With Trousers,599.0,1299.0,4.0,597.0,Women Clothing,https://www.myntra.com/kurta-sets/prisca/prisca-floral-printed-v-neck-straight-pure-cotton-kurta-with-trousers/34234990/buy
Brownverse,Geometric Yoke Design Thread Work Straight Kurta With Pyjama,1169.0,2999.0,4.6,5.0,Women Clothing,https://www.myntra.com/kurta-sets/brownverse/brownverse-geometric-yoke-design-thread-work-straight-kurta-with-pyjama/30715615/buy
Amayra,Women White Kurta Sets,999.0,2999.0,3.1,16.0,Women Clothing,https://www.myntra.com/kurta-sets/amayra/amayra-women-white-kurta-sets/35292799/buy
Kalini,Floral Printed Straight Kurta With Trousers & Dupatta,781.0,3399.0,3.8,1.0,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-straight-kurta-with-trousers--dupatta/30259660/buy
Vishudh,Mandarin Collar Regular Kurta with Trousers & Dupatta,1091.0,3899.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-mandarin-collar-regular-kurta-with-trousers--dupatta/26851990/buy
Anayna,Geometric Printed V-Neck Pure Cotton Straight Kurta,498.0,1998.0,4.2,1.0,Women Clothing,https://www.myntra.com/kurtas/anayna/anayna-geometric-printed-v-neck-pure-cotton-straight-kurta/30494195/buy
Larqi,Floral Embroidered Sequinned Pure Cotton Kurta With Trousers & Dupatta,1985.0,3970.0,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-floral-embroidered-sequinned-pure-cotton-kurta-with-trousers--dupatta/36198744/buy
Kalini,Floral Printed Anarkali Pure Cotton Kurta with Trousers & Dupatta,1243.0,7299.0,4.4,18.0,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-anarkali-pure-cotton-kurta-with-trousers--dupatta/25234310/buy
Physil,Women Ethnic Motifs Printed Pure Cotton V-Neck A-Line Kurta,499.0,1499.0,3.7,88.0,Women Clothing,https://www.myntra.com/kurtas/physil/physil-women-ethnic-motifs-printed-pure-cotton-v-neck-a-line-kurta/35197961/buy
Vishudh,Green Printed Yoke Design Thread Work Straight Kurta with Trouser & Dupatta,1802.0,5149.0,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-green-printed-yoke-design-thread-work-straight-kurta-with-trouser--dupatta/28152842/buy
Aaghnya,Women Solid Viscose Rayon Kurta Sets,799.0,3197.0,3.6,114.0,Women Clothing,https://www.myntra.com/kurta-sets/aaghnya/aaghnya-women-solid-viscose-rayon-kurta-sets/35687702/buy
