Brand,Product_Name,Price,MRP,Rating,Reviews,Category,URL
Aaghnya,Women Solid Viscose Rayon Kurta Sets,799,3197,3.6,114,Women Clothing,https://www.myntra.com/kurta-sets/aaghnya/aaghnya-women-solid-viscose-rayon-kurta-sets/35687702/buy
Vishudh,Women Lime Embroidered Straight Kurta with Regular Pants and Organza Dupatta,1697,4849,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-lime-embroidered-straight-kurta-with-regular-pants-and-organza-dupatta/32376360/buy
Sangria,Purple & Gold Toned Zari Embroidered Straight Kurta With Trouser & Dupatta,1539,5499,3.9,667,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-purple--gold-toned-zari-embroidered-straight-kurta-with-trouser--dupatta/27157090/buy
Vishudh,Women Pink Kurta with Trousers & With Dupatta,917,2699,3.8,243,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-pink-kurta-with-trousers--with-dupatta/18688422/buy
anayna,Women Ethnic Motifs Printed Kurta,498,1998,4.3,1,Women Clothing,https://www.myntra.com/kurtas/anayna/anayna-women-ethnic-motifs-printed-kurta/26972236/buy
Vishudh,Women Embroidered Straight Sleeveless Kurta Set with Slim Pants and Tissue Dupatta,2303,7199,4,11,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-embroidered-straight-sleeveless-kurta-set-with-slim-pants-and-tissue-dupatta/32611593/buy
GULMOHAR JAIPUR,Floral Embroidered V-Neck Anarkali Kurta,799,1799,4.4,54,Women Clothing,https://www.myntra.com/kurtas/gulmohar+jaipur/gulmohar-jaipur-floral-embroidered-v-neck-anarkali-kurta/33038931/buy
Vishudh,Floral Embroidered Regular Kurta with Trousers,1751,5649,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-floral-embroidered-regular-kurta-with-trousers/27145660/buy
Sangria,Burgundy Floral Printed V-Neck Straight Kurta With Trousers,1119,3999,4.1,228,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-burgundy-floral-printed-v-neck-straight-kurta-with-trousers/30314814/buy
KALINI,Floral Printed Round Neck Anarkali Kurta With Trousers & Dupatta,949,4999,4.2,467,Women Clothing,https://www.myntra.com/kurta-sets/kalini/kalini-floral-printed-round-neck-anarkali-kurta-with-trousers--dupatta/33193616/buy
Vishudh,Women Printed Kurta with Bottom and Dupatta,1994,5249,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-printed-kurta-with-bottom-and-dupatta/32611603/buy
PHYSIL,Women Floral Printed Thread Work Kurta,499,1499,3.7,112,Women Clothing,https://www.myntra.com/kurtas/physil/physil-women-floral-printed-thread-work-kurta/35197962/buy
Vishudh,Black Floral Printed Regular Kurta With Trousers & Dupatta,1435,4349,4.1,15,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-black-floral-printed-regular-kurta-with-trousers--dupatta/26620544/buy
PHYSIL,Women Floral Printed Regular Aline Calf Length Kurta with Trousers,599,2499,3.8,560,Women Clothing,https://www.myntra.com/kurta-sets/physil/physil-women-floral-printed-regular-aline-calf-length-kurta-with-trousers/34042340/buy
Sangria,Green Floral Embroidered V Neck Anarkali Kurta With Trouser & Dupatta,1714,6349,4.1,147,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-green-floral-embroidered-v-neck-anarkali-kurta-with-trouser--dupatta/30617428/buy
Vishudh,Women Purple Panelled Kurti with Skirt & With Jacket,1219,3949,4,914,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-purple-panelled-kurti-with-skirt--with-jacket/18788308/buy
Anouk,Maroon Ethnic Motifs Embroidered Round Neck Thread Work Straight Kurta,774,2499,4.3,1,Women Clothing,https://www.myntra.com/kurtas/anouk/anouk-maroon-ethnic-motifs-embroidered-round-neck-thread-work-straight-kurta/30104320/buy
Anouk,Floral Printed Panelled V-Neck Pure Cotton A-Line Kurta With Palazzos & Dupatta,1749,6999,3.9,101,Women Clothing,https://www.myntra.com/kurta-sets/anouk/anouk-floral-printed-panelled-v-neck-pure-cotton-a-line-kurta-with-palazzos--dupatta/33419571/buy
Vishudh,Women Ethnic Motifs Regular Kurta with Trousers & With Dupatta,1633,4949,,,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-women-ethnic-motifs-regular-kurta-with-trousers--with-dupatta/31668664/buy
FIORRA,Women Floral Printed Cotton Kurta with Trousers,1214,3799,4.2,154,Women Clothing,https://www.myntra.com/kurta-sets/fiorra/fiorra-women-floral-printed-cotton-kurta-with-trousers/33826799/buy
Varanga,Maroon Zari Work textured Kurta with Trouser and Printed Dupatta,999,5599,4,1,Women Clothing,https://www.myntra.com/kurta-sets/varanga/varanga-maroon-zari-work-textured-kurta-with-trouser-and-printed-dupatta/28727166/buy
Larqi,Floral Embroidered V-Neck Patchwork Pure Cotton Kurta With Trousers & Dupatta,1985,3970,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-floral-embroidered-v-neck-patchwork-pure-cotton-kurta-with-trousers--dupatta/36198737/buy
Libas,Women Black Pure Cotton Yoke Design Panelled Kurta with Palazzos & Dupatta,1249,3499,4.3,12,Women Clothing,https://www.myntra.com/kurta-sets/libas/libas-women-black-pure-cotton-yoke-design-panelled-kurta-with-palazzos--dupatta/15055280/buy
GoSriKi,Floral Printed Round Neck Anarkali Kurta With Trousers & Dupatta,1097,4345,3.6,1,Women Clothing,https://www.myntra.com/kurta-sets/gosriki/gosriki-floral-printed-round-neck-anarkali-kurta-with-trousers--dupatta/30800798/buy
Vishudh,Ethnic Motifs Embroidered Regular Thread Work Kurta with Trousers & With Dupatta,1377,4749,4,5,Women Clothing,https://www.myntra.com/kurta-sets/vishudh/vishudh-ethnic-motifs-embroidered-regular-thread-work-kurta-with-trousers--with-dupatta/27145648/buy
Yufta,Floral Printed Pure Cotton Maternity Anarkali Kurta With Trousers & Dupatta,1899,4999,4.4,30,Women Clothing,https://www.myntra.com/kurta-sets/yufta/yufta-floral-printed-pure-cotton-maternity-anarkali-kurta-with-trousers--dupatta/32631972/buy
KJFAB,Women Floral Printed Regular Pure Cotton Kurta with Harem Pants,599,1499,4.1,159,Women Clothing,https://www.myntra.com/kurta-sets/kjfab/kjfab-women-floral-printed-regular-pure-cotton-kurta-with-harem-pants/35554117/buy
Larqi,Women Floral Embroidered Regular Pure Cotton Kurta with Trousers & With Dupatta,1985,3970,,,Women Clothing,https://www.myntra.com/kurta-sets/larqi/larqi-women-floral-embroidered-regular-pure-cotton-kurta-with-trousers--with-dupatta/36198740/buy
Sangria,Women Floral Embroidered Anarkali Kurta with Trousers & Dupatta,1512,6049,4.7,13,Women Clothing,https://www.myntra.com/kurta-sets/sangria/sangria-women-floral-embroidered-anarkali-kurta-with-trousers--dupatta/35293992/buy
